series_num,poem_num,stanza_num,line_num,token_num,pos_tuple,pos,token_str,term_str,term_id,tfidf
1,5,1,2,9,"('together', 'RB')",RB,together,together,4618,0.002818747960606226
1,5,1,2,10,"('Into', 'IN')",IN,Into,into,2387,0.002818747960606226
1,5,1,2,11,"('the', 'DT')",DT,the,the,4519,0.002818747960606226
1,5,1,2,12,"('boiling', 'NN')",NN,boiling,boiling,519,0.002818747960606226
1,5,1,2,13,"('sand', 'NN')",NN,sand,sand,3779,0.002818747960606226
1,5,2,0,0,"('Ring', 'NN')",NN,Ring,ring,3697,0.0
1,5,2,0,2,"('for', 'IN')",IN,for,for,1820,0.0
1,5,2,0,3,"('the', 'DT')",DT,the,the,4519,0.0
1,5,2,0,4,"('scant', 'JJ')",JJ,scant,scant,3813,0.0
1,5,2,0,5,"('salvation', 'NN')",NN,salvation,salvation,3776,0.0
1,5,2,1,0,"('Toll', 'NNP')",NNP,Toll,toll,4624,0.0
1,5,2,1,2,"('for', 'IN')",IN,for,for,1820,0.0
1,5,2,1,3,"('the', 'DT')",DT,the,the,4519,0.0
1,5,2,1,4,"('bonnie', 'NN')",NN,bonnie,bonnie,530,0.0
1,5,2,1,5,"('souls', 'NN')",NN,souls,souls,4127,0.0
1,5,2,1,7,"('—', 'JJ')",JJ,—,,0,0.0
1,5,2,1,8,"('Neighbor', 'NNP')",NNP,Neighbor,neighbor,2938,0.0
1,5,2,1,9,"('and', 'CC')",CC,and,and,146,0.0
1,5,2,1,10,"('friend', 'NN')",NN,friend,friend,1873,0.0
1,5,2,1,11,"('and', 'CC')",CC,and,and,146,0.0
1,5,2,1,12,"('bridegroom', 'NN')",NN,bridegroom,bridegroom,590,0.0
1,5,2,1,14,"('Spinning', 'VBG')",VBG,Spinning,spinning,4169,0.0
1,5,2,1,15,"('upon', 'IN')",IN,upon,upon,4815,0.0
1,5,2,1,16,"('the', 'DT')",DT,the,the,4519,0.0
1,5,2,1,17,"('shoals', 'NNS')",NNS,shoals,shoals,3951,0.0
1,5,3,0,0,"('How', 'WRB')",WRB,How,how,2238,0.0
1,5,3,0,1,"('they', 'PRP')",PRP,they,they,4532,0.0
1,5,3,0,2,"('will', 'MD')",MD,will,will,5020,0.0
1,5,3,0,3,"('tell', 'VB')",VB,tell,tell,4491,0.0
1,5,3,0,4,"('the', 'DT')",DT,the,the,4519,0.0
1,5,3,0,5,"('shipwreck', 'NN')",NN,shipwreck,shipwreck,3948,0.0
1,5,3,0,6,"('When', 'WRB')",WRB,When,when,4985,0.0
1,5,3,0,7,"('winter', 'NN')",NN,winter,winter,5037,0.0
1,5,3,0,8,"('shakes', 'VBZ')",VBZ,shakes,shakes,3919,0.0
1,5,3,0,9,"('the', 'DT')",DT,the,the,4519,0.0
1,5,3,0,10,"('door', 'NN')",NN,door,door,1338,0.0
1,5,3,0,12,"('Till', 'NNP')",NNP,Till,till,4593,0.0
1,5,3,0,13,"('the', 'DT')",DT,the,the,4519,0.0
1,5,3,0,14,"('children', 'NNS')",NNS,children,children,808,0.0
1,5,3,0,15,"('ask', 'VB')",VB,ask,ask,238,0.0
1,5,3,0,18,"('But', 'CC')",CC,But,but,662,0.0
1,5,3,0,19,"('the', 'DT')",DT,the,the,4519,0.0
1,5,3,0,20,"('forty', 'NN')",NN,forty,forty,1849,0.0
1,5,3,1,0,"('Did', 'NNP')",NNP,Did,did,1245,0.0
1,5,3,1,1,"('they', 'PRP')",PRP,they,they,4532,0.0
1,5,3,1,2,"('come', 'VB')",VB,come,come,889,0.0
1,5,3,1,3,"('back', 'RB')",RB,back,back,304,0.0
1,5,3,1,4,"('no', 'DT')",DT,no,no,2961,0.0
1,5,3,1,5,"('more', 'RBR')",RBR,more,more,2857,0.0
1,5,4,0,0,"('Then', 'RB')",RB,Then,then,4527,0.0
1,5,4,0,1,"('a', 'DT')",DT,a,a,1,0.0
1,5,4,0,2,"('silence', 'NN')",NN,silence,silence,4002,0.0
1,5,4,0,3,"('suffuses', 'VBZ')",VBZ,suffuses,suffuses,4364,0.0
1,5,4,0,4,"('the', 'DT')",DT,the,the,4519,0.0
1,5,4,0,5,"('story', 'NN')",NN,story,story,4285,0.0
1,5,4,0,7,"('And', 'CC')",CC,And,and,146,0.0
1,5,4,0,8,"('a', 'DT')",DT,a,a,1,0.0
1,5,4,0,9,"('softness', 'NN')",NN,softness,softness,4092,0.0
1,5,4,0,10,"('the', 'DT')",DT,the,the,4519,0.0
1,5,4,0,11,"('teller', 'NN')",NN,teller,teller,4492,0.0
1,5,4,0,13,"('eye', 'NN')",NN,eye,eye,1625,0.0
1,5,4,0,15,"('And', 'CC')",CC,And,and,146,0.0
1,5,4,0,16,"('the', 'DT')",DT,the,the,4519,0.0
1,5,4,0,17,"('children', 'NNS')",NNS,children,children,808,0.0
1,5,4,0,18,"('no', 'DT')",DT,no,no,2961,0.0
1,5,4,0,19,"('further', 'JJ')",JJ,further,further,1909,0.0
1,5,4,0,20,"('question', 'NN')",NN,question,question,3491,0.0
1,5,4,0,22,"('And', 'CC')",CC,And,and,146,0.0
1,5,4,0,23,"('only', 'RB')",RB,only,only,3055,0.0
1,5,4,0,24,"('the', 'DT')",DT,the,the,4519,0.0
1,5,4,0,25,"('waves', 'NNS')",NNS,waves,waves,4942,0.0
1,5,4,0,26,"('reply', 'VBP')",VBP,reply,reply,3627,0.0
1,6,1,0,0,"('If', 'IN')",IN,If,if,2277,0.0
1,6,1,0,1,"('I', 'PRP')",PRP,I,i,2272,0.0
1,6,1,0,2,"('can', 'MD')",MD,can,can,685,0.0
1,6,1,0,3,"('stop', 'VB')",VB,stop,stop,4279,0.0
1,6,1,0,4,"('one', 'CD')",CD,one,one,3053,0.0
1,6,1,0,5,"('heart', 'NN')",NN,heart,heart,2136,0.0
1,6,1,0,6,"('from', 'IN')",IN,from,from,1887,0.0
1,6,1,0,7,"('breaking', 'VBG')",VBG,breaking,breaking,572,0.0
1,6,1,0,9,"('I', 'PRP')",PRP,I,i,2272,0.0
1,6,1,0,10,"('shall', 'MD')",MD,shall,shall,3920,0.0
1,6,1,0,11,"('not', 'RB')",RB,not,not,2980,0.0
1,6,1,0,12,"('live', 'VB')",VB,live,live,2632,0.0
1,6,1,0,13,"('in', 'IN')",IN,in,in,2309,0.0
1,6,1,0,14,"('vain', 'NN')",NN,vain,vain,4830,0.0
1,6,1,0,16,"('If', 'IN')",IN,If,if,2277,0.0
1,6,1,0,17,"('I', 'PRP')",PRP,I,i,2272,0.0
1,6,1,0,18,"('can', 'MD')",MD,can,can,685,0.0
1,6,1,0,19,"('ease', 'VB')",VB,ease,ease,1435,0.0
1,6,1,0,20,"('one', 'CD')",CD,one,one,3053,0.0
